AccountID,AccountName,Category,Active
ACC001,ที่ดิน,สินทรัพย์,TRUE
ACC002,รถจักรยานยนต์,สินทรัพย์,TRUE
ACC003,รถยนต์,สินทรัพย์,TRUE
ACC004,ลูกหนี้,สินทรัพย์,TRUE
ACC005,วัสดุสำนักงาน,สินทรัพย์,TRUE
ACC006,อุปกรณ์สำนักงาน,สินทรัพย์,TRUE
ACC007,เครื่องคอมพิวเตอร์,สินทรัพย์,TRUE
ACC008,เครื่องถ่ายเอกสาร,สินทรัพย์,TRUE
ACC009,เครื่องพิมพ์,สินทรัพย์,TRUE
ACC010,เครื่องใช้สำนักงาน,สินทรัพย์,TRUE
ACC011,เงินฝากธนาคาร,สินทรัพย์,TRUE
ACC012,เงินสด,สินทรัพย์,TRUE
ACC013,ถอนใช้ส่วนตัว,ส่วนของเจ้าของ,TRUE
ACC014,ทุน,ส่วนของเจ้าของ,TRUE
ACC015,เงินกู้,หนี้สิน,TRUE
ACC016,เจ้าหนี้,หนี้สิน,TRUE
